Time [s],Channel 0,Channel 1
3.516285125,0,0
3.516286125,1,0
3.516287125,0,0
3.516289208,1,0
3.516290208,0,0
3.516292292,1,0
3.516293292,0,0
3.516295417,1,0
3.516296417,0,0
3.516298500,1,0
3.516299542,0,0
3.516301625,1,0
3.516302625,0,0
3.516304708,1,0
3.516305708,0,0
3.516307833,1,0
3.516308833,0,0
3.516310917,1,0
3.516311917,0,0
3.516314042,1,0
3.516315042,0,0
3.516317125,1,0
3.516318125,0,0
3.516320250,1,0
3.516321250,0,0
3.516323333,1,0
3.516324333,0,0
3.516326458,1,0
3.516327458,0,0
3.516329542,1,0
3.516330542,0,0
3.516332667,1,0
3.516333667,0,0
3.516335750,1,0
3.516336750,0,0
3.516338875,1,0
3.516339875,0,0
3.516341958,1,0
3.516342958,0,0
3.516345083,1,0
3.516346083,0,0
3.516348167,1,0
3.516349167,0,0
3.516351292,1,0
3.516352292,0,0
3.516354375,1,0
3.516355375,0,0
3.516357458,1,0
3.516358500,0,0
3.516360583,1,0
3.516361583,0,0
3.516363667,1,0
3.516364708,0,0
3.516366792,1,0
3.516367792,0,0
3.516369875,1,0
3.516370875,0,0
3.516373000,1,0
3.516374000,0,0
3.516376083,1,0
3.516377083,0,0
3.516379208,1,0
3.516380208,0,0
3.516382292,1,0
3.516383292,0,0
3.516385417,1,0
3.516386417,0,0
3.516387458,0,1
3.516388542,1,1
3.516389542,0,1
3.516390750,1,1
3.516391792,0,1
3.516393917,1,1
3.516395000,0,1
3.516396042,1,1
3.516397083,0,1
3.516398125,1,1
3.516399208,0,1
3.516400250,1,1
3.516401333,0,1
3.516402375,1,1
3.516403417,0,1
3.516403458,0,0
3.516404500,1,0
3.516405542,0,0
3.516405833,0,1
3.516406583,1,1
3.516407667,0,1
3.516408833,1,1
3.516409875,0,1
3.516410917,1,1
3.516412000,0,1
3.516413000,1,1
3.516414000,0,1
3.516415000,1,1
3.516416083,0,1
3.516417125,1,1
3.516418208,0,1
3.516419208,1,1
3.516420333,0,1
3.516421333,1,1
3.516422417,0,1
3.516423458,1,1
3.516424542,0,1
3.516425542,1,1
3.516426667,0,1
3.516427667,1,1
3.516428750,0,1
3.516429792,1,1
3.516430875,0,1
3.516431875,1,1
3.516433000,0,1
3.516434000,1,1
3.516435083,0,1
3.516436125,1,1
3.516437208,0,1
3.516438208,1,1
3.516439292,0,1
3.516440333,1,1
3.516441417,0,1
3.516442458,1,1
3.516443542,0,1
3.516444542,1,1
3.516445625,0,1
3.516446667,1,1
3.516447750,0,1
3.516448792,1,1
3.516449875,0,1
3.516450875,1,1
3.516452000,0,1
3.516453000,1,1
3.516454083,0,1
3.516455125,1,1
3.516456208,0,1
3.516457208,1,1
3.516458292,0,1
3.516459333,1,1
3.516460417,0,1
3.516461458,1,1
3.516462542,0,1
3.516463542,1,1
3.516464625,0,1
3.516465667,1,1
3.516466750,0,1
3.516467750,1,1
3.516468875,0,1
3.516469875,1,1
3.516470958,0,1
3.516472000,1,1
3.516473083,0,1
3.516474083,1,1
3.516475208,0,1
3.516476417,1,1
3.516477417,0,1
3.516478500,1,1
3.516479542,0,1
3.516481625,1,1
3.516482667,1,0
3.516483625,0,0
3.516485625,1,0
3.516486583,1,1
3.516489708,1,0
3.516490708,0,0
3.516492792,1,0
3.516493792,0,0
3.516495917,1,0
3.516496917,0,0
3.516497958,0,1
3.516499000,1,1
3.516500000,0,1
3.516501083,0,0
3.516502125,1,0
3.516503083,0,0
3.516505208,1,0
3.516506208,0,0
3.516508333,1,0
3.516509333,0,0
3.516510375,0,1
3.516511417,1,1
3.516512417,0,1
3.516513500,0,0
3.516514500,1,0
3.516515500,0,0
3.516517625,1,0
3.516518625,0,0
3.516520708,1,0
3.516521708,0,0
3.516523833,1,0
3.516524833,0,0
3.516526917,1,0
3.516527917,0,0
3.516530042,1,0
3.516531042,0,0
3.516533125,1,0
3.516534125,0,0
3.516536250,1,0
3.516537250,0,0
3.516539333,1,0
3.516540333,0,0
3.516542458,1,0
3.516543458,0,0
3.516545542,1,0
3.516546542,0,0
3.516548667,1,0
3.516549667,0,0
3.516551750,1,0
3.516552750,0,0
3.516554875,1,0
3.516555875,0,0
3.516557958,1,0
3.516558958,0,0
3.516561083,1,0
3.516562083,0,0
3.516564167,1,0
3.516565167,0,0
3.516567292,1,0
3.516568292,0,0
3.516570375,1,0
3.516571375,0,0
3.516573500,1,0
3.516574500,0,0
3.516576583,1,0
3.516577583,0,0
3.516579708,1,0
3.516580708,0,0
3.516582792,1,0
3.516583792,0,0
3.516585875,1,0
3.516586875,0,0
3.516589000,1,0
3.516590000,0,0
3.516592083,1,0
3.516593083,0,0
3.516595208,1,0
3.516596208,0,0
3.516598292,1,0
3.516599292,0,0
3.516601417,1,0
3.516602417,0,0
3.516604500,1,0
